Line,Breeder,Year,State
C075944,M. Brick,2003,CO
PP99120,NA,2003,NA
OT9743-287-2-4,NA,2003,NA
OT9743-296-5-7,NA,2003,NA
G99750,NA,2003,NA
AN 37,P. Miklas,2003,WA
USWA-6,P. Miklas,2003,WA
Cornell 601,P. Griffiths,2003,NY
Cornell 501,P. Griffiths,2003,NY
CO75944,M. Brick,2004,CO
AN 1,P. Miklas,2004,WA
AN 69,P. Miklas,2004,WA
USWA-6,P. Miklas,2004,WA
IO1892-115M,J. Kelly,2004,MI
N02 302,J. Kelly,2004,MI
AN 37,P. Miklas,2004,WA
Cornell 501,P. Griffiths,2004,NY
Cornell 601,P. Griffiths,2004,NY
Dwarf Bees,Territorial Seeds,2004,OR
C075944,M. Brick,2005,CO
AN 69,P. Miklas,2005,WA
USWA 6,P. Miklas,2005,WA
N02 302,J. Kelly,2005,MI
AN 1,P. Miklas,2005,WA
AN 37,P. Miklas,2005,WA
IO 1892-115M,J. Kelly,2005,MI
Cornell 501,P. Griffiths,2005,NY
CO75844,M. Brick,2006,CO
AN 1,P. Miklas,2006,WA
AN 69,P. Miklas,2006,WA
USWA-6,P. Miklas,2006,WA
IO1892-115M,J. Kelly,2006,MI
N02 302,J. Kelly,2006,MI
AN 37,P. Miklas,2006,WA
Cornell 501,P. Griffiths,2006,NY
Cornell 601,P. Griffiths,2006,NY
Dwarf Bees,Territorial Seeds,2006,OR
,,,
,,,
,,,
,,,
,,,
,,,
,,,
