Pop,N,MLG,eMLG,SE,H,G,lambda,E.5,Hexp,Ia,p.Ia,rbarD,p.rD,File
WA,58,56,9.945553539019999,0.22906763089914783,4.012639756714699,54.25806451612904,0.9815695600475625,0.9809445123274869,0.5957212781169224,0.6526333813493672,0.001,0.06632661323364007,0.001,.
MI,58,43,9.30015744394406,0.7931304178512196,3.6031491669007005,29,0.9655172413793104,0.7840135150797531,0.5416047956882802,1.2503210359592356,0.001,0.14028282449913276,0.001,.
ND,41,35,9.444001718712938,0.7256008848814757,3.449675035377228,25.861538461538462,0.9613325401546698,0.815395541830212,0.5441241685144124,0.9960190829708206,0.001,0.10052219951638054,0.001,.
NE,37,28,8.928656597774197,0.9412252392183985,3.156350820654699,17.779220779220775,0.943754565376187,0.7462492903007593,0.5526890526890526,2.222407668263524,0.001,0.24766811073907508,0.001,.
CO,34,28,9.458556149732644,0.6664529879340734,3.2663306919548707,24.083333333333332,0.9584775086505191,0.915461396380077,0.5563117809107113,2.3302370666359824,0.001,0.26620384410891085,0.001,.
France,21,14,8.499999999999996,0.8506963092233515,2.5824243173501262,12.600000000000003,0.9206349206349207,0.9485516211469488,0.48311688311688317,0.9414773889912009,0.001,0.10684221745073334,0.001,.
CA,18,15,9.11764705882353,0.7180326832785228,2.6593226977095163,13.5,0.9259259259259259,0.9407968248314031,0.5074272133095663,0.2834372287540441,0.043,0.03171325921886128,0.043,.
OR,17,13,8.522058823529397,0.8479212356576286,2.4762471329830333,10.703703703703704,0.9065743944636678,0.8905311839976062,0.47058823529411764,0.9197304528788037,0.001,0.10314638027261723,0.001,.
Mexico,15,9,7.098901098901105,0.8452776448669916,2.0837660374856473,7.258064516129031,0.8622222222222222,0.8896030281118014,0.2779220779220779,2.573998642226748,0.001,0.3723731658654348,0.001,.
MN,9,7,7,0,1.8891591637540215,6.230769230769231,0.8395061728395061,0.931768921473957,0.47474747474747475,1.337448559670781,0.001,0.1930195742171523,0.001,.
Australia,6,6,6,0,1.791759469228055,6,0.8333333333333334,1,0.4787878787878788,0.703448275862069,0.052,0.11820078734394089,0.052,.
WI,2,2,2,0,0.6931471805599453,2,0.5,1,0.2727272727272727,NA,NA,NA,NA,.
NY,1,1,1,0,0,1,0,NaN,NaN,NA,NA,NA,NA,.
ID,1,1,1,0,0,1,0,NaN,NaN,NA,NA,NA,NA,.
