Locus,Range,Repeats,allele,Hexp,Evenness
5-2,318--324,2,4,0.45223444868627893,0.6164147401988321
6-2,483--495,5.99999,3,0.6445841754622352,0.9493734440426987
7-2,158--174,2,7,0.7290665468972228,0.7635292738069244
8-3,244--270,2,7,0.7418669062055543,0.7892239784548586
9-2,360--382,2,9,0.3475110412456023,0.4055573086220161
12-2,214--222,2,5,0.5804775806572349,0.7791016909003997
17-3,342--363,3,7,0.5527509544127556,0.526494138009538
20-3,280--282,2,2,0.05329740250018721,0.42049948628170253
55-4,153--216,4,10,0.723137959428101,0.6564024596890713
110-4,370--386,3.99999,5,0.7555954787034959,0.9147773450297967
114-4,339--416,4,10,0.8306310352571301,0.8012050886213313
